iter	MultiClass
0	1.685180614
1	1.599639221
2	1.52980777
3	1.469897636
4	1.420434538
5	1.374684058
6	1.333948942
7	1.301035583
8	1.271856795
9	1.244461679
10	1.222811516
11	1.199566148
12	1.180352699
13	1.159660932
14	1.141146993
15	1.122843277
16	1.104547527
17	1.086054999
18	1.069560901
19	1.056244324
20	1.040982071
21	1.029594692
22	1.018351165
23	1.006950853
24	0.9953699399
25	0.9829717974
26	0.9735555359
27	0.9621962595
28	0.9544326103
29	0.9442742299
30	0.9347646778
31	0.9269066325
32	0.9196414149
33	0.9120158103
34	0.9036112771
35	0.8959162438
36	0.8856943535
37	0.8743060242
38	0.8678535795
39	0.8621159241
40	0.8558346226
41	0.8495838235
42	0.8432737792
43	0.836061028
44	0.8285808218
45	0.8218642152
46	0.8148748187
47	0.8080600967
48	0.8019058858
49	0.7969288106
50	0.7929876726
51	0.7872990608
52	0.783098024
53	0.7768258805
54	0.768847354
55	0.7660675456
56	0.7617381537
57	0.7580580957
58	0.7533805347
59	0.7480502602
60	0.7454339282
61	0.7418795352
62	0.7379765469
63	0.7338193386
64	0.7290204877
65	0.7243622125
66	0.7205728653
67	0.7171943195
68	0.7132127749
69	0.7090430283
70	0.7049483502
71	0.7024386438
72	0.6993291349
73	0.6959931101
74	0.6930466353
75	0.6903563392
76	0.6871071961
77	0.6843478246
78	0.6797370128
79	0.6756773446
80	0.673592208
81	0.6695701964
82	0.6653698492
83	0.6636781095
84	0.6605551546
85	0.6582689084
86	0.6553878643
87	0.6528393068
88	0.6508792573
89	0.647088186
90	0.6447089259
91	0.641334684
92	0.6372085803
93	0.634506535
94	0.6309908593
95	0.627947794
96	0.6221563564
97	0.6188005835
98	0.6167260985
99	0.6132164703
100	0.6098061705
101	0.607850246
102	0.6052653647
103	0.6033567543
104	0.6000909681
105	0.5980526332
106	0.596575479
107	0.5937209279
108	0.5915357256
109	0.58827194
110	0.5859246016
111	0.5830407655
112	0.5807236894
113	0.5785988207
114	0.5757121229
115	0.5729418142
116	0.5714371514
117	0.5695953476
118	0.5663750929
119	0.5634337058
120	0.5608151592
121	0.5576839208
122	0.5564408332
123	0.5538706511
124	0.5517595976
125	0.5501008525
126	0.547689038
127	0.5454878883
128	0.5433901136
129	0.5419771965
130	0.5396153145
131	0.5378828696
132	0.5356063855
133	0.5340086572
134	0.5325115734
135	0.5301655319
136	0.527691603
137	0.5253626132
138	0.5227488169
139	0.5214929674
140	0.5190665833
141	0.5163986459
142	0.5145486339
143	0.5123641776
144	0.5097011665
145	0.5088222458
146	0.5071924922
147	0.5049604099
148	0.5028427705
149	0.501570824
150	0.4993310227
151	0.4970479506
152	0.4947921717
153	0.4931311329
154	0.4910549711
155	0.4894796532
156	0.4879142855
157	0.4861711079
158	0.4839806459
159	0.4818941555
160	0.4807488762
161	0.4796240123
162	0.4781803398
163	0.4763705744
164	0.474512035
165	0.4728125026
166	0.4711769221
167	0.4696111631
168	0.46807912
169	0.4664364707
170	0.4647909282
171	0.4635047909
172	0.4624123859
173	0.4611090546
174	0.4593445016
175	0.4574065167
176	0.4557899757
177	0.454040888
178	0.4525320149
179	0.4512939226
180	0.4498532573
181	0.4478637633
182	0.4463594919
183	0.4448949743
184	0.4433561446
185	0.4414592902
186	0.4402223834
187	0.4385496271
188	0.4374017867
189	0.4350330553
190	0.4332704951
191	0.4320665851
192	0.4305789229
193	0.4291565794
194	0.4278622725
195	0.4262883836
196	0.4244302782
197	0.4233580998
198	0.4218104536
199	0.4203936959
200	0.419619877
201	0.4183748547
202	0.4166618098
203	0.4160215024
204	0.4146749461
205	0.4132295976
206	0.4120100532
207	0.4108473476
208	0.4096903349
209	0.4086230343
210	0.4074405363
211	0.4062904309
212	0.4055418411
213	0.4033416042
214	0.4018958614
215	0.4004285127
216	0.399311219
217	0.3978515201
218	0.3967837452
219	0.3958757105
220	0.3951680169
221	0.393716822
222	0.3926168767
223	0.3917961145
224	0.3906145645
225	0.3891257911
226	0.3884127569
227	0.3875268523
228	0.3861230037
229	0.3848560409
230	0.3842752099
231	0.383215725
232	0.3823146412
233	0.3818074158
234	0.3800309246
235	0.3788528549
236	0.3779547158
237	0.3771149074
238	0.3758946609
239	0.3748423456
240	0.3738259576
241	0.3719258808
242	0.3707466229
243	0.3698328248
244	0.3689312722
245	0.3676492722
246	0.3659389586
247	0.3647073872
248	0.3636933796
249	0.3632382134
250	0.3621863319
251	0.3608133109
252	0.3589648159
253	0.358001153
254	0.3570665836
255	0.3563300596
