iter	Passed	Remaining
0	83	41882
1	94	23650
2	106	17654
3	117	14610
4	128	12715
5	138	11382
6	148	10457
7	160	9843
8	171	9359
9	181	8898
10	190	8479
11	202	8227
12	213	8009
13	224	7807
14	234	7597
15	245	7414
16	254	7234
17	264	7095
18	275	6985
19	286	6875
20	296	6759
21	307	6680
22	319	6616
23	331	6581
24	344	6541
25	356	6493
26	367	6429
27	378	6382
28	391	6350
29	402	6310
30	412	6237
31	423	6193
32	435	6162
33	447	6130
34	460	6115
35	473	6103
36	483	6056
37	493	6004
38	503	5952
39	513	5906
40	523	5863
41	533	5817
42	543	5778
43	554	5750
44	565	5722
45	577	5699
46	588	5668
47	598	5639
48	612	5641
49	622	5602
50	633	5576
51	644	5555
52	655	5524
53	664	5490
54	674	5457
55	685	5432
56	695	5407
57	707	5395
58	717	5364
59	726	5331
60	737	5307
61	749	5296
62	760	5277
63	770	5251
64	780	5220
65	791	5202
66	802	5189
67	813	5171
68	824	5152
69	835	5131
70	848	5127
71	861	5123
72	872	5104
73	885	5100
74	898	5089
75	910	5078
76	922	5070
77	936	5065
78	948	5055
79	960	5042
80	972	5030
81	983	5015
82	994	4997
83	1006	4985
84	1018	4971
85	1028	4952
86	1041	4945
87	1053	4933
88	1064	4916
89	1075	4901
90	1086	4882
91	1095	4857
92	1106	4843
93	1118	4830
94	1129	4813
95	1139	4795
96	1148	4771
97	1159	4758
98	1170	4742
99	1183	4735
100	1196	4726
101	1207	4710
102	1216	4690
103	1226	4668
104	1235	4648
105	1246	4634
106	1256	4613
107	1269	4607
108	1286	4614
109	1303	4622
110	1324	4641
111	1357	4701
112	1375	4710
113	1392	4715
114	1410	4720
115	1434	4747
116	1460	4781
117	1482	4799
118	1503	4814
119	1522	4821
120	1542	4830
121	1563	4844
122	1580	4844
123	1595	4838
124	1616	4849
125	1638	4864
126	1657	4868
127	1678	4877
128	1695	4877
129	1712	4873
130	1733	4883
131	1751	4883
132	1767	4877
133	1787	4883
134	1812	4900
135	1827	4891
136	1843	4885
137	1867	4898
138	1951	5069
139	1999	5141
140	2031	5171
141	2080	5244
142	2093	5226
143	2111	5219
144	2128	5210
145	2160	5237
146	2183	5242
147	2203	5240
148	2223	5238
149	2238	5223
150	2254	5211
151	2275	5209
152	2292	5199
153	2307	5184
154	2325	5176
155	2344	5170
156	2360	5156
157	2378	5147
158	2393	5133
159	2407	5116
160	2422	5100
161	2437	5085
162	2450	5065
163	2461	5043
164	2476	5028
165	2490	5010
166	2503	4992
167	2514	4970
168	2527	4950
169	2539	4928
170	2551	4908
171	2562	4886
172	2572	4863
173	2582	4838
174	2592	4815
175	2603	4792
176	2611	4765
177	2622	4743
178	2633	4722
179	2646	4704
180	2659	4687
181	2670	4666
182	2681	4645
183	2692	4623
184	2701	4600
185	2713	4581
186	2723	4559
187	2734	4538
188	2746	4518
189	2755	4496
190	2767	4477
191	2781	4461
192	2793	4443
193	2805	4425
194	2819	4409
195	2833	4394
196	2846	4378
197	2859	4361
198	2871	4343
199	2883	4325
200	2896	4308
201	2907	4288
202	2920	4273
203	2933	4256
204	2945	4238
205	2959	4223
206	2970	4204
207	2979	4183
208	2991	4165
209	3004	4149
210	3017	4133
211	3030	4116
212	3049	4108
213	3065	4096
214	3097	4106
215	3114	4095
216	3127	4079
217	3143	4065
218	3159	4054
219	3175	4041
220	3190	4027
221	3210	4020
222	3226	4007
223	3240	3993
224	3255	3978
225	3268	3962
226	3282	3948
227	3296	3932
228	3315	3923
229	3327	3906
230	3340	3890
231	3359	3880
232	3371	3863
233	3385	3848
234	3397	3831
235	3410	3814
236	3425	3801
237	3438	3785
238	3451	3769
239	3464	3753
240	3478	3737
241	3493	3724
242	3510	3712
243	3527	3701
244	3544	3688
245	3556	3671
246	3570	3657
247	3581	3638
248	3592	3621
249	3602	3602
250	3611	3582
251	3621	3563
252	3649	3562
253	3670	3554
254	3681	3537
255	3692	3519
256	3702	3500
257	3713	3483
258	3724	3465
259	3739	3452
260	3755	3438
261	3775	3429
262	3796	3421
263	3821	3416
264	3835	3401
265	3853	3389
266	3882	3388
267	3900	3376
268	3917	3364
269	3936	3353
270	3961	3347
271	3980	3336
272	4001	3326
273	4023	3318
274	4041	3306
275	4054	3290
276	4070	3276
277	4089	3265
278	4102	3249
279	4119	3237
280	4135	3223
281	4149	3207
282	4161	3190
283	4173	3174
284	4187	3159
285	4202	3144
286	4222	3134
287	4237	3119
288	4251	3104
289	4264	3087
290	4277	3071
291	4289	3055
292	4304	3041
293	4319	3026
294	4335	3012
295	4348	2996
296	4366	2984
297	4382	2970
298	4395	2955
299	4408	2938
300	4421	2923
301	4433	2906
302	4445	2890
303	4458	2874
304	4470	2858
305	4481	2841
306	4493	2824
307	4505	2808
308	4517	2792
309	4529	2776
310	4542	2760
311	4555	2744
312	4566	2728
313	4578	2711
314	4589	2695
315	4600	2678
316	4612	2662
317	4625	2647
318	4637	2631
319	4647	2614
320	4660	2598
321	4671	2582
322	4682	2565
323	4693	2549
324	4706	2534
325	4719	2519
326	4731	2503
327	4743	2487
328	4754	2471
329	4769	2456
330	4783	2442
331	4798	2428
332	4810	2412
333	4821	2396
334	4832	2380
335	4843	2363
336	4855	2348
337	4868	2333
338	4881	2318
339	4891	2301
340	4904	2286
341	4916	2271
342	4928	2255
343	4941	2240
344	4957	2227
345	4970	2212
346	4981	2196
347	4992	2180
348	5002	2164
349	5012	2148
350	5027	2134
351	5038	2118
352	5051	2103
353	5063	2088
354	5075	2073
355	5094	2060
356	5108	2046
357	5123	2032
358	5135	2017
359	5148	2002
360	5160	1987
361	5183	1976
362	5197	1961
363	5208	1946
364	5223	1932
365	5239	1918
366	5252	1903
367	5263	1887
368	5281	1874
369	5294	1860
